S1,"S1 - other","S1 - time",S2,"S2 - other","S2 - time",E1_1,"E1_1 - other","E1_1 - time",E2,"E2 - other","E2 - time",E3,"E3 - other","E3 - time",E4,"E4 - other","E4 - time",E5,"E5 - other","E5 - time",A1,"A1 - other","A1 - time",A2,"A2 - other","A2 - time",A4,"A4 - other","A4 - time",A5,"A5 - other","A5 - time",A6,"A6 - other","A6 - time",A6_1,"A6_1 - other","A6_1 - time",A7,"A7 - other","A7 - time",A8,"A8 - other","A8 - time",A9,"A9 - other","A9 - time",A10,"A10 - other","A10 - time",A10_1,"A10_1 - other","A10_1 - time",S5,"S5 - other","S5 - time",S6,"S6 - other","S6 - time",S7,"S7 - other","S7 - time",S3,"S3 - other","S3 - time",S3_1,"S3_1 - other","S3_1 - time",C1,"C1 - other","C1 - time",C2,"C2 - other","C2 - time",C3,"C3 - other","C3 - time",C4,"C4 - other","C4 - time",C5,"C5 - other","C5 - time",C6,"C6 - other","C6 - time"
"""1""",,5,"""4""",,3,"[""4"",""7"",""8"",""9"",""10""]",,16,"{""4"":""3"",""7"":""1"",""8"":""3"",""9"":""2"",""10"":""3""}",,66,,,,,,,,,,"{""41"":""1"",""44"":""1"",""42"":""1"",""39"":""1"",""46"":""1"",""40"":""1""}",,14,"{""41"":{""LastName"":""Дуров"",""Company"":""ВК""},""44"":{""LastName"":""Цукерберг"",""Company"":""FB""},""42"":{""LastName"":""Молибог"",""Company"":""exRambleroid""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""40"":{""LastName"":""Гришин"",""Company"":""Мейлрушечка""}}",,50,"[""41"",""46"",""45"",""42"",""39"",""40""]",,28,"{""41"":[""7"",""8""],""42"":[""8""],""46"":[""4"",""7"",""8""],""39"":[""4"",""7"",""8""],""40"":[""4"",""7"",""8""],""45"":[""4""]}",,30,"[""11"",""5"",""1"",""9"",""2""]",,87,"{""11"":[""8""],""2"":[""4"",""7"",""8""],""5"":[""7"",""8""],""1"":[""7"",""8""],""9"":[""4"",""7"",""8""]}",,22,,,,"[""7"",""5"",""1"",""3"",""2"",""6""]",,15,"[""2""]",,42,"{""1"":[""84"",""83"",""86""],""4"":[""90""],""3"":[""84"",""83"",""85"",""86""],""5"":[""88"",""83"",""86""],""7"":[""84"",""85"",""86""],""2"":[""84"",""83"",""85"",""86""],""8"":[""90""],""9"":[""90""],""6"":[""85"",""86""]}",,109,"{""12"":[""85"",""86""],""17"":[""85""],""18"":[""85"",""86""],""16"":[""84"",""83"",""85""],""13"":[""84"",""83"",""85"",""86""],""14"":[""88"",""84"",""83"",""85"",""87"",""86"",""89""],""15"":[""84"",""85"",""86""],""11"":[""84"",""83"",""85""],""10"":[""90""]}",,107,"""2""",,25,"""4""",,9,"""2""",,12,"""5""",,6,,,,"""1983""",,4,"""1""",,9,"""1""",,3,"""3""",,5,"""4""",,13,"[""2"",""23""]",,22
"""2""",,15,"""8""",,9,"[""4"",""6"",""7""]",,38,"{""4"":""3"",""6"":""3"",""7"":""3""}",,29,,,,,,,,,,"{""46"":""1"",""41"":""1"",""44"":""1""}",,47,"{""46"":{""LastName"":""Касперский"",""Company"":""Kaspersky Lab""},""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""}}",,48,"[""99""]",,48,,,,"[""7"",""4"",""1"",""6"",""2"",""12"",""8""]",,47,"{""1"":[""4""],""7"":[""7""],""6"":[""4""],""2"":[""7""],""4"":[""7""],""12"":[""7""],""8"":[""4""]}",,48,,,,"[""3"",""1"",""6"",""2"",""8""]",,35,"[""8""]",,13,"{""1"":[""85"",""84"",""83"",""89""],""9"":[""85"",""84"",""83"",""89""],""2"":[""85"",""84"",""83""],""4"":[""85""],""6"":[""85""],""3"":[""90""],""8"":[""90""],""7"":[""85"",""84""],""5"":[""85"",""84"",""83""]}",,136,"{""15"":[""85"",""84"",""83""],""11"":[""85"",""84"",""83""],""18"":[""85"",""84"",""83""],""14"":[""85"",""84"",""83"",""86"",""87"",""89""],""13"":[""85"",""84"",""83""],""16"":[""85"",""84"",""86""],""12"":[""85"",""84""],""17"":[""90""],""10"":[""90""]}",,146,"""3""",,15,"""3""",,7,"""2""",,8,,,,"""8""",,6,"""1982""",,8,"""1""",,4,"""30""",,5,"""5""",,6,"""4""",,16,"[""2"",""14"",""18""]",,30
"""3""",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,20,"""12""",,4,"[""8""]",,13,"{""8"":""2""}",,7,,,,,,,,,,"{""39"":""1"",""44"":""1""}",,29,"{""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""44"":{""LastName"":""Цукерберг"",""Company"":""Фейсбук""}}",,20,"[""45"",""39""]",,16,"{""45"":[""4""],""39"":[""4""]}",,7,"[""3"",""1""]",,8,"{""3"":[""1"",""4""],""1"":[""1"",""4""]}",,10,,,,"[""1""]",,9,"[""1""]",,5,"{""2"":[""85""],""5"":[""85""],""1"":[""85"",""84""],""9"":[""85""],""4"":[""85""],""7"":[""84""],""8"":[""85"",""84""],""6"":[""85""],""3"":[""85"",""84""]}",,37,"{""16"":[""85""],""17"":[""85""],""18"":[""85""],""11"":[""85""],""12"":[""85""],""15"":[""85""],""10"":[""85""],""14"":[""85""],""13"":[""85""]}",,24,"""2""",,13565,"""5""",,6,"""4""",,31,"""1""",,157,,,,"""1978""",,7,"""1""",,3,"""1""",,3,"""4""",,5,"""5""",,6,"[""11"",""13"",""23""]",,15
"""2""",,27,"""15""",,6,"[""8""]",,32,"{""8"":""5""}",,20,,,,,,,,,,"{""46"":""1"",""44"":""1""}",,38,"{""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""44"":{""LastName"":""Цукерберг"",""Company"":""Фейсбук""}}",,36,"[""46"",""41"",""42"",""45""]",,27,"{""46"":[""4""],""42"":[""4""],""41"":[""4""],""45"":[""4""]}",,19,"[""4"",""8"",""1"",""2""]",,32,"{""4"":[""4"",""7""],""1"":[""4""],""8"":[""4""],""2"":[""4""]}",,29,,,,"[""4"",""7"",""6"",""1"",""2""]",,32,"[""8"",""9""]",,29,"{""5"":[""83""],""8"":[""84""],""1"":[""85""],""6"":[""84""],""4"":[""87"",""85"",""89"",""84""],""3"":[""90""],""2"":[""90""],""7"":[""87"",""85"",""86"",""89"",""84"",""83""],""9"":[""84"",""83""]}",,2235,"{""15"":[""87"",""85"",""86"",""89"",""84"",""83""],""12"":[""85"",""86"",""89"",""84"",""83""],""14"":[""87"",""88"",""85"",""86"",""89"",""84"",""83""],""13"":[""85"",""86"",""89"",""84"",""83""],""11"":[""84"",""83""],""10"":[""90""],""18"":[""87"",""88"",""85"",""86"",""89"",""84"",""83""],""17"":[""87"",""88"",""85"",""86"",""89"",""84"",""83""],""16"":[""85"",""84""]}",,155,"""1""",,11,"""5""",,7,"""2""",,9,,,,"""4""",,25,"""1972""",,9,"""1""",,6,"""35""",,8,"""4""",,6,"""5""",,16,"[""3"",""13"",""17""]",,29
"""3""",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,9,"""5""",,12,"[""7"",""8""]",,44,"{""7"":""1"",""8"":""2""}",,15,,,,,,,,,,"{""46"":""1"",""45"":""1"",""44"":""1""}",,42,"{""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""45"":{""LastNameEmpty"":""1"",""Company"":""Майкрософт""},""44"":{""LastName"":""Цукенберг"",""Company"":""Фэйсбук""}}",,44,"[""45"",""46""]",,45,"{""45"":[""4""],""46"":[""4""]}",,19,"[""4"",""3"",""8"",""6""]",,49,"{""4"":[""4""],""8"":[""4""],""6"":[""4""],""3"":[""4""]}",,45,,,,"[""1""]",,25,"[""1""]",,21,"{""7"":[""85"",""84"",""86""],""6"":[""85"",""84"",""86""],""3"":[""84"",""86""],""8"":[""84"",""86""],""2"":[""85"",""84"",""86""],""4"":[""85"",""84"",""86""],""9"":[""90""],""1"":[""85"",""84"",""86""],""5"":[""85"",""84"",""86""]}",,147,"{""15"":[""85"",""84"",""86""],""14"":[""85"",""84"",""86""],""11"":[""89"",""85"",""84"",""86""],""17"":[""85"",""84"",""86""],""16"":[""85"",""84"",""86""],""13"":[""89"",""85"",""84"",""86""],""10"":[""90""],""12"":[""85"",""84"",""86""],""18"":[""84"",""86""]}",,93,"""4""",,20,"""1""",,5,,,,"""5""",,16,,,,"""1981""",,6,"""1""",,3,"""2""",,5,"""4""",,7,"""4""",,19,"[""3"",""11"",""19""]",,89
"""3""",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,9,"""7""",,8,"[""4"",""7""]",,529,"{""4"":""3"",""7"":""3""}",,15,,,,,,,,,,"{""41"":""1"",""44"":""1"",""45"":""1"",""43"":""1"",""401"":""1""}",,36,"{""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""45"":{""LastName"":""Балмер"",""Company"":""Майкрософт""},""43"":{""LastName"":""Ларри Пейдж"",""Company"":""Google""},""401"":{""LastName"":""Артамонова"",""Company"":""Мейл.ру""}}",,133,"[""41"",""46"",""44""]",,32,"{""41"":[""4"",""8""],""46"":[""7""],""44"":[""4""]}",,404,"[""8"",""3"",""7"",""4"",""6""]",,21,"{""8"":[""4""],""4"":[""4"",""8""],""6"":[""7""],""3"":[""7""],""7"":[""4""]}",,26,,,,"[""6"",""1""]",,19,"[""9"",""11"",""1"",""2""]",,571,"{""8"":[""85""],""1"":[""84"",""85"",""89""],""2"":[""84"",""83"",""85""],""4"":[""84"",""83"",""85""],""9"":[""85""],""7"":[""85"",""86""],""5"":[""84"",""85"",""89"",""86""],""3"":[""90""],""6"":[""85""]}",,135,"{""15"":[""88"",""84"",""85""],""11"":[""84"",""83"",""85"",""89"",""86""],""18"":[""84"",""85""],""14"":[""87"",""84"",""83"",""85"",""89"",""86""],""17"":[""84"",""83"",""85""],""13"":[""84"",""83"",""85"",""89"",""86""],""16"":[""84"",""85""],""12"":[""84"",""85""],""10"":[""88"",""87"",""84"",""83"",""85""]}",,7071,"""3""",,16,"""4""",,6,"""1""",,6,"""5""",,12,,,,"""1985""",,5,"""2""",,3,"""75""",,6,"""4""",,4,"""4""",,18,"[""4"",""5"",""24""]",,50
"""1""",,9,"""14""",,15,"[""2"",""3"",""4"",""6"",""7"",""8"",""9"",""10"",""11""]",,27,"{""2"":""4"",""3"":""4"",""4"":""1"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""2"",""11"":""2""}",,51,,,,,,,,,,"{""41"":""1"",""39"":""1"",""40"":""1"",""44"":""1"",""401"":""1"",""47"":""1"",""48"":""1"",""46"":""1""}",,34,"{""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""40"":{""LastName"":""Гришин"",""Company"":""MRG""},""44"":{""LastName"":""Цукербкрг"",""Company"":""Фейсбук""},""401"":{""LastName"":""Артамонова "",""Company"":""mail.ru""},""47"":{""LastName"":""Белоусов "",""Company"":""Runa""},""48"":{""LastName"":""Долгов"",""Company"":""Русский Ebay""},""46"":{""LastName"":""Касперский"",""Company"":""Касперский""}}",,322,"[""47"",""48"",""39"",""40"",""44"",""46"",""401""]",,32,"{""47"":[""4"",""7"",""8""],""44"":[""4"",""7"",""8""],""48"":[""4"",""7"",""8""],""46"":[""4"",""6"",""7"",""8""],""39"":[""1"",""4"",""6"",""7"",""8""],""401"":[""4"",""8""],""40"":[""4"",""7"",""8""]}",,46,"[""9"",""1"",""4"",""6"",""11"",""7"",""5"",""2"",""8""]",,18,"{""9"":[""1"",""4"",""8""],""11"":[""1"",""4"",""6"",""7"",""8""],""1"":[""1"",""4"",""5"",""6"",""7"",""8""],""7"":[""1"",""4"",""7"",""8""],""4"":[""1"",""4"",""6"",""7"",""8""],""5"":[""4"",""7"",""8""],""6"":[""1"",""4"",""6"",""7"",""8""],""2"":[""4"",""7"",""8""],""8"":[""4"",""7"",""8""]}",,66,,,,"[""1"",""4"",""6"",""3"",""11"",""7"",""5"",""2""]",,20,"[""12"",""1"",""3"",""2""]",,14,"{""5"":[""86"",""85"",""89"",""84""],""7"":[""86"",""85"",""89"",""84""],""4"":[""86"",""83"",""85"",""89"",""84""],""8"":[""86"",""85"",""89"",""84""],""9"":[""90""],""3"":[""86"",""83"",""85"",""88"",""89"",""87"",""84""],""2"":[""86"",""83"",""85"",""89"",""87"",""84""],""1"":[""86"",""83"",""85"",""89"",""84""],""6"":[""86"",""85"",""89"",""84""]}",,93,"{""11"":[""85"",""84""],""16"":[""85"",""84""],""14"":[""86"",""83"",""85"",""89"",""87"",""84""],""17"":[""86"",""85"",""89"",""84""],""12"":[""86"",""85"",""89"",""84""],""18"":[""90""],""13"":[""86"",""83"",""85"",""89"",""87"",""84""],""10"":[""84""],""15"":[""86"",""83"",""85"",""89"",""84""]}",,122,"""98"""," Совладелец интернет-компании",47,"""6""",,6,,,,"""98""","Стратегическое управление",17,,,,"""1968""",,7,"""1""",,3,"""78""",,6,"""4""",,5,"""6""",,12,"[""9"",""13"",""22""]",,47
"""1""",,12,"""6""",,6,"[""4"",""5"",""6"",""7"",""11""]",,60,"{""4"":""2"",""5"":""2"",""6"":""3"",""7"":""5"",""11"":""4""}",,63,,,,,,,,,,"{""44"":""1"",""46"":""1"",""40"":""1"",""41"":""1""}",,69,"{""44"":{""LastName"":""Цукерберг"",""Company"":""facebook""},""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""40"":{""LastName"":""Гришин"",""Company"":""mail.ru""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""}}",,409,"[""46"",""45"",""40""]",,34,"{""46"":[""4""],""45"":[""4""],""40"":[""4""]}",,44,"[""99""]",,31,,,,,,,"[""1"",""3"",""2"",""6"",""11""]",,45,"[""98""]","затрудняюсь ответить",31,"{""5"":[""86"",""83"",""85"",""84"",""87"",""89""],""4"":[""90""],""6"":[""85""],""3"":[""90""],""9"":[""90""],""1"":[""86"",""83"",""85"",""84""],""2"":[""86"",""85"",""89""],""7"":[""85"",""89""],""8"":[""85""]}",,216,"{""10"":[""90""],""14"":[""86"",""83"",""89""],""11"":[""86"",""83"",""85"",""84"",""88"",""87"",""89""],""17"":[""86"",""85"",""89""],""12"":[""86"",""85""],""13"":[""86"",""83"",""85"",""84"",""89""],""18"":[""83""],""16"":[""90""],""15"":[""86"",""83"",""85"",""84"",""88"",""87"",""89""]}",,128,"""3""",,16,"""4""",,5,"""99""",,7,"""99""",,20,,,,"""0000""",,5,"""2""",,3,"""1""",,4,"""4""",,11,"""9""",,31,"[""10"",""11"",""13""]",,65
"""2""",,10,"""17""",,9,"[""4"",""7""]",,18,"{""4"":""1"",""7"":""1""}",,15,,,,,,,,,,"{""44"":""1""}",,25,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Фейсбук""}}",,19,"[""99""]",,15,,,,"[""99""]",,11,,,,,,,"[""99""]",,5,"[""8""]",,17,"{""3"":[""85""],""7"":[""86"",""85""],""1"":[""85"",""87"",""83""],""8"":[""85""],""4"":[""85""],""9"":[""90""],""2"":[""89"",""86"",""85"",""87"",""84"",""83""],""5"":[""85"",""84"",""83""],""6"":[""85""]}",,71,"{""10"":[""90""],""13"":[""85""],""15"":[""85"",""84""],""14"":[""89""],""17"":[""85""],""12"":[""85""],""11"":[""85""],""16"":[""85""],""18"":[""86"",""85""]}",,45,"""3""",,7,"""6""",,5,"""2""",,8,,,,"""6""",,5,"""1974""",,6,"""2""",,3,"""64""",,8,"""5""",,4,"""6""",,9,"[""16"",""17"",""18""]",,28
"""1""",,4,"""7""",,4,"[""4""]",,20,"{""4"":""1""}",,14,,,,,,,,,,"{""45"":""1"",""44"":""1"",""46"":""1"",""39"":""1""}",,29,"{""45"":{""LastNameEmpty"":""1"",""Company"":""Microsoft""},""44"":{""LastNameEmpty"":""1"",""Company"":""facebock""},""46"":{""LastName"":""Касперский"",""CompanyEmpty"":""1""},""39"":{""LastNameEmpty"":""1"",""Company"":""Яндекс""}}",,57,"[""44"",""40"",""46"",""41"",""39"",""45""]",,26,"{""44"":[""7""],""39"":[""4""],""45"":[""1"",""4"",""6""],""40"":[""4""],""46"":[""1"",""4""],""41"":[""1"",""4"",""6""]}",,29,"[""1"",""4"",""7"",""8""]",,14,"{""1"":[""4""],""7"":[""7""],""4"":[""7""],""8"":[""6""]}",,15,,,,"[""1"",""3"",""11"",""10""]",,18,"[""1"",""3"",""2""]",,13,"{""7"":[""84""],""1"":[""84""],""6"":[""84""],""4"":[""84""],""5"":[""84""],""3"":[""84""],""2"":[""84""],""8"":[""90""],""9"":[""89"",""84"",""83"",""86"",""85""]}",,70,"{""17"":[""84""],""13"":[""84""],""16"":[""89""],""14"":[""89""],""15"":[""84"",""83"",""86"",""85""],""12"":[""84"",""85""],""10"":[""90""],""11"":[""84""],""18"":[""84""]}",,106,"""4""",,14,"""1""",,5,,,,"""1""",,9,,,,"""1971""",,5,"""1""",,3,"""1""",,3,"""4""",,4,"""9""",,8,"[""13"",""18"",""24""]",,40
"""1""",,9,"""7""",,4,"[""2"",""4"",""7"",""9"",""10""]",,23,"{""2"":""4"",""4"":""5"",""7"":""1"",""9"":""3"",""10"":""3""}",,24,,,,,,,,,,"{""40"":""1"",""41"":""1"",""47"":""1"",""44"":""1"",""45"":""1"",""48"":""1"",""39"":""1""}",,21,"{""40"":{""LastName"":""Гришин"",""Company"":""Mail.Ru""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""},""47"":{""LastName"":""Белоусов"",""Company"":""Parallels""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""48"":{""LastName"":""Долгов"",""Company"":""Ebay""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""}}",,71,"[""41"",""40"",""45"",""42"",""39""]",,32,"{""41"":[""8""],""40"":[""7"",""8""],""45"":[""4""],""42"":[""4""],""39"":[""7"",""8""]}",,65,"[""1"",""5""]",,25,"{""1"":[""7"",""8""],""5"":[""7""]}",,10,,,,"[""1"",""3"",""6""]",,14,"[""1"",""2""]",,17,"{""6"":[""85"",""84""],""8"":[""85"",""89"",""86"",""84""],""7"":[""85"",""86"",""84""],""2"":[""85"",""89"",""86"",""84"",""83""],""4"":[""85"",""86"",""84"",""83""],""3"":[""89"",""88"",""84""],""5"":[""86""],""1"":[""85"",""86"",""84""],""9"":[""90""]}",,165,"{""13"":[""85"",""89"",""86"",""84"",""83""],""14"":[""85"",""89"",""86"",""84"",""87"",""83""],""17"":[""85"",""86"",""84""],""10"":[""85""],""15"":[""85"",""84""],""12"":[""85"",""86""],""18"":[""90""],""16"":[""89"",""84"",""83""],""11"":[""85"",""89"",""86"",""84""]}",,107,"""4""",,12,"""2""",,4,,,,"""1""",,11,,,,"""1985""",,6,"""1""",,2,"""1""",,3,"""5""",,4,"""5""",,32,"[""3"",""4"",""24""]",,61
"""2""",,8,"""5""",,4,"[""4"",""5"",""7"",""8"",""9"",""10""]",,14,"{""4"":""6"",""5"":""3"",""7"":""1"",""8"":""3"",""9"":""1"",""10"":""3""}",,87,,,,,,,,,,"{""46"":""1"",""45"":""1"",""39"":""1"",""43"":""1"",""44"":""1"",""47"":""1"",""41"":""1""}",,19,"{""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""45"":{""LastName"":""Баллмер"",""Company"":""Microsoft""},""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""43"":{""LastName"":""Сегалович"",""Company"":""Яндекс""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""47"":{""LastName"":""Белоусов"",""Company"":""Parallels""},""41"":{""LastName"":""Дуров"",""Company"":""VK""}}",,227,"[""46"",""39"",""45"",""47"",""44"",""41""]",,17,"{""46"":[""1"",""4"",""7"",""8""],""47"":[""4""],""44"":[""4"",""6"",""7"",""8""],""41"":[""1"",""4"",""5"",""6"",""7"",""8""],""39"":[""4"",""7""],""45"":[""1"",""4"",""5"",""6"",""7"",""8""]}",,31,"[""4"",""7"",""8"",""5"",""1"",""2""]",,12,"{""4"":[""1"",""4"",""7"",""8""],""7"":[""1"",""5"",""6"",""7"",""8""],""1"":[""1"",""4"",""5"",""7"",""8""],""8"":[""1"",""4"",""5"",""6"",""7"",""8""],""5"":[""4"",""7"",""8""],""2"":[""4"",""7"",""8""]}",,31,,,,"[""4"",""7"",""8"",""5"",""1""]",,16,"[""8"",""9"",""1""]",,10,"{""3"":[""86""],""6"":[""84""],""4"":[""86""],""9"":[""84""],""8"":[""84"",""85"",""86""],""2"":[""84"",""83"",""85"",""86""],""1"":[""89"",""84"",""83"",""85"",""86""],""7"":[""84"",""85"",""86""],""5"":[""84"",""85"",""86""]}",,66,"{""15"":[""84"",""85""],""16"":[""84""],""11"":[""84"",""85""],""14"":[""89"",""86""],""12"":[""84"",""85""],""18"":[""84"",""86""],""10"":[""84""],""13"":[""84"",""85"",""86""],""17"":[""84"",""85"",""86""]}",,47,"""3""",,8,"""6""",,6,"""1""",,5,,,,"""2""",,10,"""1978""",,4,"""1""",,4,"""1""",,3,"""4""",,4,"""5""",,6,"[""10"",""11"",""24""]",,12
"""1""",,22,"""5""",,11,"[""7"",""8"",""9"",""10"",""11""]",,40,"{""7"":""3"",""8"":""3"",""9"":""6"",""10"":""6"",""11"":""5""}",,52,,,,,,,,,,"{""41"":""1"",""39"":""1"",""40"":""1"",""44"":""1""}",,63,"{""41"":{""LastName"":""Дуров"",""Company"":""VK""},""39"":{""LastName"":""Волож"",""Company"":""Yandex""},""40"":{""LastName"":""Гришин"",""Company"":""Mail""},""44"":{""LastName"":""Цукенберг"",""Company"":""Facebook""}}",,190,"[""39"",""44"",""41"",""40""]",,58,"{""41"":[""4"",""7"",""8""],""39"":[""4"",""7"",""8""],""44"":[""4""],""40"":[""4""]}",,66,"[""1"",""6"",""7"",""8"",""2"",""4""]",,39,"{""2"":[""4"",""7""],""1"":[""4"",""7"",""8""],""4"":[""4"",""7"",""8""],""6"":[""4"",""6""],""7"":[""4"",""7"",""8""],""8"":[""4""]}",,58,,,,"[""10"",""12"",""1"",""6"",""7"",""8"",""2"",""9"",""4"",""11"",""3"",""5""]",,37,"[""1"",""2""]",,38,"{""3"":[""85"",""83"",""86"",""89"",""84""],""4"":[""83"",""86"",""89""],""7"":[""87"",""85"",""83"",""86"",""84""],""9"":[""85"",""89"",""84""],""8"":[""85"",""83"",""86"",""89"",""84""],""1"":[""85"",""86"",""84""],""6"":[""85""],""2"":[""85"",""83"",""86"",""89"",""84""],""5"":[""85"",""83"",""86"",""89"",""84""]}",,316,"{""17"":[""85"",""83"",""89"",""84""],""13"":[""85""],""10"":[""85""],""18"":[""85"",""86"",""89"",""84""],""16"":[""85"",""83"",""86"",""89"",""84""],""15"":[""85""],""14"":[""85"",""86"",""89""],""12"":[""85""],""11"":[""85"",""89""]}",,203,"""2""",,21,"""2""",,13,"""3""",,20,"""1""",,21,,,,"""1977""",,10,"""1""",,4,"""1""",,6,"""4""",,8,"""2""",,40,"[""2"",""3"",""26""]",,106
"""2""",,7,"""10""",,9,"[""1"",""4"",""7"",""11""]",,80,"{""1"":""2"",""4"":""3"",""7"":""1"",""11"":""4""}",,39,,,,,,,,,,"{""39"":""1"",""45"":""1"",""47"":""1"",""46"":""1"",""44"":""1""}",,49,"{""39"":{""LastName"":""Волож"",""Company"":""Яндекс""},""45"":{""LastName"":""Балмер"",""Company"":""Microsoft""},""47"":{""LastName"":""Белоусов"",""Company"":""Parallels""},""46"":{""LastName"":""Касперский"",""Company"":""Kaspersky Lab""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""}}",,1069,"[""39"",""47"",""40"",""46"",""41""]",,25,"{""39"":[""4""],""40"":[""4""],""47"":[""7"",""8""],""46"":[""1"",""4""],""41"":[""4""]}",,39,"[""10"",""1"",""4"",""8"",""2"",""9"",""7""]",,24,"{""10"":[""4"",""7""],""1"":[""4"",""7"",""8""],""2"":[""4"",""8""],""4"":[""7"",""8""],""9"":[""1"",""4""],""8"":[""1"",""4""],""7"":[""4"",""7""]}",,62,,,,"[""10"",""1"",""2"",""9""]",,20,"[""1"",""2""]",,17,"{""2"":[""84"",""83"",""85""],""9"":[""84"",""83""],""8"":[""84""],""6"":[""84"",""85""],""5"":[""84"",""83"",""85""],""3"":[""84"",""83""],""1"":[""84"",""85""],""7"":[""84"",""83"",""85""],""4"":[""84""]}",,81,"{""14"":[""84"",""83""],""12"":[""84"",""83"",""85"",""86""],""11"":[""84"",""83""],""17"":[""84"",""83"",""86""],""15"":[""84""],""10"":[""90""],""13"":[""84"",""83"",""85"",""89"",""86""],""18"":[""84""],""16"":[""84"",""83"",""85"",""88"",""89"",""86""]}",,70,"""1""",,16,"""1""",,5,"""2""",,12,,,,"""4""",,13,"""1981""",,6,"""1""",,4,"""1""",,5,"""4""",,6,"""4""",,27,"[""2"",""9"",""17""]",,32
